,screen_name,state
2437,John08391004,Puducherry
2438,senthil81999049,Puducherry
2439,Varun_Mahe,Puducherry
2441,SKlintanSojasin,Puducherry
2442,princegarghry,Puducherry
2443,jai_jayaraman,Puducherry
2446,Vijayak02318971,Puducherry
2450,PYSevadal,Puducherry
2454,pavadaijayaram2,Puducherry
2455,capt_amarinder,Punjab
2464,ChitraSarwara,Punjab
2467,VijayIndrSingla,Punjab
2468,sunilkjakhar,Punjab
2472,kuljitnagra1,Punjab
2474,AmritLUTHRA,Punjab
2475,DrDrnavjotsidhu,Punjab
2476,SamraatD,Punjab
2480,AmarpreetLally,Punjab
2487,NSUIPunjab,Punjab
2490,preneet_kaur,Punjab
2491,SevadalPB,Punjab
2494,PunjabPMC,Punjab
2512,manjeetsaroya,Punjab
2518,amritsardacapt,Punjab
2520,BrahmMohindra,Punjab
2521,sidhubss19,To Be Added
2537,kahlonjaskaran,Punjab
2538,sschaudharymp,Punjab
2539,BSLaddiOfficial,Punjab
2543,dampy_malhotra,Punjab
2544,kuldeep_tohra,Punjab
2545,drharjotkamal,Punjab
2546,RajbirSinghINC,Punjab
2549,Karanvohransui,Punjab
2551,DewanPawan,Punjab
2554,rinkudhillon,Punjab
2556,mamta_duttainc,Punjab
2561,gulshad_inc,Punjab
2562,KauraPrabh,Punjab
2563,GagaJagdev,To Be Added
2565,deepak2626ad,Punjab
2567,JassiKhangura,Punjab
2568,girdhar_mittal,Punjab
2569,CHARANJITCHANNI,Punjab
2571,DrRajKumarINC,Punjab
2572,KulbirSinghZira,Punjab
2583,BassiOfficial,Punjab
2585,ShemberGahlay,Punjab
2586,PRITPALINC,Punjab
2588,Ranjodhbuttar,Punjab
2589,GautamSeth_INC,Punjab
2593,RajinderBeriINC,Punjab
2594,Dev82415,Punjab
2599,Vjschaudhary,Punjab
2600,Sumankaushik27,Punjab
2602,MajithiaLalli,Punjab
2606,DrDharambir,Punjab
2608,hskingra,Punjab
2609,HardialKamboj,Punjab
2612,bmsaunta,Punjab
2615,Gurpree35246844,Punjab
2619,Nirmalshutrana,Punjab
2621,SarabjitBrarM,Punjab
2622,AkshayPunj_INC,Punjab
2623,ColCml,Punjab
2626,harjitsinghcong,Punjab
2627,GoldyJagdeep,Punjab
2629,raghav24791,Punjab
2633,Ghai3Nishant,Punjab
2635,SevadalPTK,Punjab
2637,thakurpoonam838,Punjab
2641,jagdeepsandhu11,Punjab
2644,harman_badla,Punjab
2646,dutti_sunil,Punjab
2650,MPSPalasour,Punjab
2652,Bhalla1968Vijay,Punjab
2653,PrasannakumarKB,To Be Added
2654,singh_pahra,Punjab
2655,SevadalLDH,Punjab
2657,angadsinghnsr,Punjab
2659,updesh97gill,Punjab
2664,officeofskd,Punjab
2665,NeerinderS,Punjab
2672,PapalSahil,Punjab
2673,mann_talwinder,Punjab
2674,quasmiraihan,Punjab
2679,KewalDhillon16,Punjab
2680,noordaudhar,Punjab
2682,Rajinde56554915,Punjab
2684,DMCongressGsp,Punjab
2688,PuhalRahul,Punjab
2690,himanshugosain9,Punjab
2694,Jeeta_Saini,Punjab
2696,Paramvirtiwana,Punjab
2697,MatharuAmitpal,Punjab
2700,RajgarhiaSingh,Punjab
2701,DnlLali,Punjab
2705,Balajihs7,Punjab
2706,goldymusafir,Punjab
2711,menakpajni,Punjab
2712,GuggiINC,Punjab
2713,SunnyAr25891559,Punjab
2715,inc_punjab,Punjab
2716,NeerajBhambri2,Punjab
2718,raj_verka,Punjab
2721,pawandewan9,Punjab
2722,Veerinder15,To Be Added
2729,balwindernarang,Punjab
2730,KarandhillonINC,Punjab
2731,swaranjeetkau19,Punjab
2737,SoiManusoi233,Punjab
2738,NsuiAbohar,Punjab
2741,RaviCheema2,Punjab
2742,RishavSharmaIyc,Punjab
2743,Preetbandesha20,Punjab
2744,RamanChotian,Punjab
2746,GurdevJhita,Punjab
2748,PakkanWala,Punjab
2749,vinaymahajan001,Punjab
2750,ravikulrian,Punjab
2754,CKheeva,Punjab
2757,HarryChadha22,Punjab
2760,RBhagupur,Punjab
2761,mnprt_chadha9,Punjab
2763,Manikmahajan973,Punjab
2764,asrmahilacong,Punjab
2766,GaganDipMDJ,Punjab
2770,AkashTiwari003,Punjab
2771,NsuiAmritsar,Punjab
2775,gursandhu2128,Punjab
2779,sunny988800418,Punjab
2782,vijendrajaswal,To Be Added
2783,alexpunjab,Punjab
2784,gurpreet6061,Punjab
2787,NsuiPathankot,Punjab
2788,JaitleyInfo,Punjab
2789,sukhpal_gill52,Punjab
2790,Harpreetkhera2,Punjab
2793,deepak_ladda52,Punjab
2795,sonubhasin850g2,Punjab
2797,simarjeetbrar81,Punjab
2802,KumarUppli,Punjab
2804,sandeep00144,Punjab
2807,Gurpreet3900,Punjab
2810,GurSidhu27INC,Punjab
2816,JKakkra,Punjab
2817,vinaytandletv,Punjab
2818,9915003955bsn,Punjab
2820,NsuiFatehgarh,Punjab
2823,sharanAulakh8,Punjab
2824,kanwarbajwa5,Punjab
2826,RoshanJ93013274,Punjab
2830,Ameen36086273,Punjab
2831,Barinde47738359,Punjab
2834,snehmoudgill9,Punjab
2835,YogeshHanda8,Punjab
2838,namdhari_taran,Punjab
2839,ShimogaNsui,Punjab
2840,AMITARORAKHALRA,Punjab
2841,MohammedIlliya5,Punjab
2842,bains_jagwinder,Punjab
2844,SukhramanG,Punjab
2845,AsrNsui,Punjab
2849,RajinderpalKah1,Punjab
2850,SahilMa52448847,Punjab
2851,KiranDh13208355,Punjab
2852,PawanBhola9,Punjab
2854,RajaKaler2,Punjab
2855,GurmeetPannu75,Punjab
2856,nsui_sourav,Punjab
2857,GurbajSinghGil5,Punjab
2860,Sanjeev_inc,Punjab
2862,pappuofficial,Punjab
2863,aggarwal1411,Punjab
2864,Aman66323,Punjab
2865,TifTAjZg7QoOt4z,Punjab
2867,Surende29839916,Punjab
2868,dilkhera,Punjab
2871,damansarai92,Punjab
2872,SajanBawa55,Punjab
2873,PardeepMadaan9,Punjab
2874,battlegroundasr,Punjab
2876,Rubbygill1,To Be Added
2878,ViceBrigade,Punjab
3739,SachinPilot,Rajasthan
3740,ashokgehlot51,Rajasthan
3741,drcpjoshi,Rajasthan
3742,GovindDotasra,Rajasthan
3743,INCRajasthan,Rajasthan
3744,RaghusharmaINC,Rajasthan
3745,AshokChandnaINC,Rajasthan
3746,KumariRukshmani,Rajasthan
3748,PSKhachariyawas,Rajasthan
3750,vishvendrabtp,Rajasthan
3751,dgurjarofficial,Rajasthan
3752,Barmer_Harish,Rajasthan
3753,DrArchanaINC,Rajasthan
3754,RPCC_ITcell,Rajasthan
3755,MimrotReena,Rajasthan
3756,danishabrar2016,Rajasthan
3757,VipinINC,Rajasthan
3759,Rajasthan_PYC,Rajasthan
3760,vibhamathur10,Rajasthan
3761,ndadhich,Rajasthan
3762,Pilot_mission,Rajasthan
3764,RamniwasGawriya,Rajasthan
3765,sitaramlamba,Rajasthan
3766,MukeshBhakar_,Rajasthan
3768,manishsaini96,Rajasthan
3769,sunitavakiti,Andhra Pradesh
3770,JitendraINC,Rajasthan
3771,vishal_INC,To Be Added
3772,KatariaLalchand,Rajasthan
3773,MlaSanchore,Rajasthan
3774,rameshmeena63,Rajasthan
3775,siddharthbhard,Rajasthan
3776,vickramswami,Rajasthan
3777,PramodBhayaINC,Rajasthan
3778,SatveerINC,Rajasthan
3779,BhanwarJitendr1,Rajasthan
3782,KunwarNagendra,Rajasthan
3783,ChetanDudiINC,Rajasthan
3784,ramugopalpura,Rajasthan
3785,ManishYadavINC,Rajasthan
3786,mamta_bhupesh,Rajasthan
3787,RajasthanPMC,Rajasthan
3788,AAamindayer,Rajasthan
3789,RatanDevasiINC,Rajasthan
3790,TikaRamJullyINC,Rajasthan
3791,bharatjalori,Rajasthan
3793,AnilChopraINC,Rajasthan
3794,VikramMeenaINC,Rajasthan
3795,IndrajGurjarinc,Rajasthan
3796,Raj_congrss,Rajasthan
3797,congressafzal,Rajasthan
3798,Sonakshi_V,Rajasthan
3799,The_ManishSood,Rajasthan
3800,PrateekSinghINC,Rajasthan
3801,ashkalitak,Rajasthan
3802,RamlaljatINC,Rajasthan
3804,LaxmanINC,Rajasthan
3805,leelavativerma,Rajasthan
3806,BhatiRazzaq,Rajasthan
3807,anupamsharma654,Rajasthan
