,screen_name,state
3155,BarnasiyaDeepak,Rajasthan
3156,choudhary_abvp,Rajasthan
3159,KarniKhichi,Rajasthan
3160,singhanita260,Rajasthan
3161,Yix2Ib9Pg2cqxu5,Rajasthan
3162,Bjp4Raj,Rajasthan
3163,NidhiShekharSh1,Rajasthan
3164,dinesh_vaishanv,To Be Added
3165,RkDevayushBJP,Rajasthan
3166,narpatyadavbjp,Haryana
3167,dr_kirodilal,Rajasthan
3170,KKBAYTU,Rajasthan
3171,PratapSSinghvi,Rajasthan
3172,slathi11,Rajasthan
3173,sandeepdixitbjp,Rajasthan
3174,mpbskoli,Rajasthan
3175,BJYMSirohi,Rajasthan
3176,bza_suresh,To Be Added
3177,DipeshBJYM,Rajasthan
3178,Yogeshmangrol,Rajasthan
3179,DineshGared,Rajasthan
3181,dudi_ramnarayan,Rajasthan
3183,JangidTj,Rajasthan
3184,DrRajeshYadav8,Rajasthan
3185,AlkaSin26812658,Rajasthan
3186,rupeshbundi,Rajasthan
3187,Bjp4SikarCity,Rajasthan
3188,BjpMahipatSingh,Rajasthan
3189,dikshabjym,Rajasthan
3190,Radheshyam_BJP,Uttar Pradesh
3192,chothmalnagar,Rajasthan
3193,OnlineKanhaiya,Rajasthan
3194,ramjanbjym,Rajasthan
3195,manthanp96,Rajasthan
3196,bjym4jodhpur,Rajasthan
3197,ajayacharyabjp,Rajasthan
3198,VijendraGodara,Rajasthan
3199,tarun83,Rajasthan
3200,DeviSinghBJP,Rajasthan
3201,RohitYa92870487,Rajasthan
3203,sir_saini,Rajasthan
3204,prabhulalbjp,Rajasthan
3205,Pranaybjp,Rajasthan
3206,DhakaManish2,Rajasthan
3207,MeenaAsopa,Rajasthan
3208,Gajpalshinghrat,Rajasthan
3209,aaditya_bjp,Rajasthan
3210,UniyalSubodh,Uttarakhand
3211,BSRShergarhMLA,Rajasthan
3212,BJP4Palamuru,Telangana
3214,suprim_jain,Rajasthan
3215,ravindradby,Madhya Pradesh
3216,princesharmabjp,Rajasthan
3217,Devkhatana1,Rajasthan
3218,anugoyal2008,Rajasthan
3219,AjayCha71076418,Rajasthan
3220,bhagwat2014,Rajasthan
3221,RavikPaliwalbjp,Rajasthan
3223,diliploroli11,Rajasthan
3226,bjymgnagar,Gujarat
3227,Hameersinghbhal,Rajasthan
3229,AshishChopra91,Rajasthan
3231,pinkeshpratapga,Rajasthan
3232,AnilBis50397916,Rajasthan
3233,bimla_smt,Rajasthan
3234,578deepesh,Rajasthan
3235,abvp_kishangarh,Rajasthan
3237,ratankalotra96,Rajasthan
3238,MukeshSharda4,Rajasthan
3239,pandit_diksha,Rajasthan
3240,iyashpatel4bjp,Gujarat
3241,tushar13111980,Rajasthan
3242,SatyendraTyagiD,Rajasthan
3244,bajajpooran,To Be Added
3245,Shubhamdixitbjp,Rajasthan
3246,pandit_jalebjp,Rajasthan
3248,purkharam291,Rajasthan
3249,BJYM4ASHOKNAGAR,Madhya Pradesh
3250,bjpamitgoyal,Rajasthan
3251,BjymKarnavati,Gujarat
3253,BJPGhanshyamDas,Haryana
3254,govindsharma999,Rajasthan
3255,PawanJa49662072,Rajasthan
3256,JayantiRathwa1,Gujarat
3257,Vivek_Rajwanshi,Rajasthan
3259,RamgopalSuthar,Rajasthan
3260,BaldevGodara4,Rajasthan
3261,sunilbhojasar29,Rajasthan
3262,hiniumtachu,Arunachal Pradesh
3263,bharatshigala,Gujarat
3264,SuratNegi4KNR,Himachal Pradesh
3265,SinghviPratap,Rajasthan
3266,UdaiBhadana,Rajasthan
3267,BJYM4Jamnagar,Gujarat
3268,Patelmitesh1091,Gujarat
3270,Mukeshkhurdiya,Rajasthan
3271,anshumansgnr,Rajasthan
3272,parveen_1978,Rajasthan
3273,JitendraBURKIYA,Rajasthan
3274,MlaDogra,Rajasthan
3275,MinaAsha,Rajasthan
3276,Rajpal_BJP,Rajasthan
3277,SURVEERMODI,Rajasthan
3278,AjayPareekbjym,Rajasthan
3279,BjymLalaram,Rajasthan
3281,ThirupathiBJP,Telangana
3282,kushbjym,Rajasthan
3283,mpladha,Rajasthan
3284,PiyushDosiBJP,Rajasthan
3285,shrimalisandee1,Rajasthan
3286,ichaudharyvivek,Gujarat
3287,Rajendr02735528,Rajasthan
3288,mlgmla,Rajasthan
3289,mldewasi29,Rajasthan
3290,BHUPENDRAABVP11,Rajasthan
3292,niceguy63,Rajasthan
3293,ijigneshBJYM,Gujarat
3294,keyurshahbjp,Gujarat
3295,SanjayMacheri,Rajasthan
3296,kishanpuri24,Rajasthan
3297,TawniyaRam,Rajasthan
3298,dilipsinh_BJYM,Gujarat
3299,Anand_Bagora,Rajasthan
3300,jjn_tanmay,Rajasthan
3301,KALULALSAINI8,Rajasthan
3303,pawan_suthar,Rajasthan
